2010-11-10T08:12:51+00:00 INFO (6): USER: admin; TYPE: Pages; ID: 1; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-11-23T07:48:52+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 54; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-11-23T07:56:56+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 54; FIELD/ACTION: is_featured; VALUE: 1.
2010-12-01T18:50:24+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 54; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-01T18:52:55+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-01T18:53:45+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 54; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-01T18:54:00+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 54; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-01T18:55:33+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-01T18:55:52+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-01T18:56:06+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: is_featured; VALUE: 1.
2010-12-01T18:56:52+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 54; FIELD/ACTION: is_trashed; VALUE: 1.
2010-12-01T18:58:30+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-04T14:01:58+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-04T14:04:35+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-04T14:06:34+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 55; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-04T14:39:11+00:00 INFO (6): USER: admin; TYPE: ProjectImages; ID: 29; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-05T19:53:43+00:00 INFO (6): USER: admin; TYPE: Projects; ID: 56; FIELD/ACTION: [UPDATE]; VALUE: 1.
2010-12-05T19:56:37+00:00 INFO (6): USER: admin; TYPE: ProjectImages; ID: 30; FIELD/ACTION: [UPDATE]; VALUE: 1.
